id,Contry,City,Exports,imports,Population
1,Sweden,Västra Frölunda,39493263,44975348,71089845
2,Russia,Okhansk,74998919,40798591,39078220
3,Indonesia,Bantarjati,70473097,95235852,23309694
4,Indonesia,Pajaten,47627599,94381289,79035086
5,United States,Phoenix,89510151,45191807,16392155
6,Philippines,Libas,36074538,52669223,79859892
7,France,Verdun,29910220,85016971,31435881
8,China,Changning,4525333,8903587,77508527
9,Ecuador,Loja,47634287,42545002,48091435
10,Vietnam,Cần Giờ,61001655,86262470,16428032
11,China,Xiadian,26839678,66878023,72733287
12,Indonesia,Uitiuhtuan,42009100,91482131,41903470
13,Micronesia,Fais,9873490,85822633,17452591
14,Russia,Pryazha,13816000,94377732,14943225
15,Poland,Kuźnia Raciborska,39392267,77627609,42967866
16,Cambodia,Prey Veng,90460021,96733346,50231956
17,Poland,Suchedniów,49892153,96414143,28023336
18,Indonesia,Mangseng,7252726,66635169,65686841
19,Philippines,Ginatilan,96276071,28424965,72037580
20,Nigeria,Vom,15858360,73945478,75998098
21,Spain,Valladolid,50346273,34159709,27248790
22,Russia,Zheleznodorozhnyy,33187716,13057185,35839232
23,China,Suqiaoxiang,82068347,26205802,62106191
24,Poland,Łomazy,52491575,79324144,19844035
25,Ecuador,Calceta,31177020,3176981,21056201
26,Senegal,Ouro Sogui,79019484,42266717,47807717
27,United States,Newport News,10734492,24796852,25589145
28,Japan,Katori-shi,12132060,46575231,62308754
29,Finland,Pyhäranta,51572752,42263217,35422573
30,Brazil,Santo Estêvão,40086212,83156464,21693679
31,Indonesia,Tetaf,96795174,16695267,72750812
32,Russia,Star’,22298160,18769893,26132359
33,Egypt,Sohag,97734313,73317234,17629901
34,China,Gongping,95582549,53934325,64088564
35,Nepal,Hitura,79013982,38252526,18267288
36,Israel,Azor,85700813,36290197,67254515
37,Indonesia,Karawatung,66905216,10027114,66546316
38,Malawi,Mzimba,41514001,5776340,64784035
39,Russia,Nal’chik,92560520,58873877,30837278
40,Indonesia,Cigintung,49647071,83349434,31204948
41,Russia,Gorbatovka,47456022,7687734,76734144
42,Madagascar,Vavatenina,5025837,73789295,52776291
43,Greece,Tycheró,16572650,21873075,68631871
44,China,Xintian,4174162,23911399,51630860
45,Nigeria,Lokoja,82816900,31757390,71800003
46,Russia,Luknovo,87942282,81883974,44243618
47,Bhutan,Daga,95545787,85685057,72922311
48,Ukraine,Kodyma,88549313,53069406,67900400
49,Brazil,Silva Jardim,91943294,73439915,63722979
50,Indonesia,Anto,39384299,39214065,33431401
51,Yemen,Al ‘Aqabah,55905754,53678856,11523518
52,Poland,Ciepielów,65393527,70320133,42481888
53,Cuba,Ciro Redondo,47867916,63115250,51371522
54,Lithuania,Kretinga,77561713,95213445,28077136
55,China,Haokou,2824059,22497449,66408228
56,Brazil,Penha,85869391,38473589,51499076
57,France,Pont-à-Mousson,1641244,10634484,61472601
58,Indonesia,Bilo,18633108,70376667,14327409
59,China,Jiangyou,62272291,96734418,16113713
60,Thailand,Kut Rang,86460680,99914640,72613044
61,Morocco,Tazouta,87520992,53401126,49133960
62,Pakistan,Chitral,85686144,56218824,50814494
63,Indonesia,Sarangmeduro,92730013,8302451,40226740
64,Brazil,Coruripe,59373110,59358357,44615388
65,China,Taihe,89746555,37427723,16907293
66,New Zealand,Coromandel,99076536,6401374,65118162
67,Brazil,Santo Estêvão,85694559,8432132,43366044
68,Madagascar,Toliara,91886660,83510823,50922551
69,Portugal,Alvega,64459985,42341856,36420576
70,Philippines,San Antonio,14676654,39403363,52741709
71,Indonesia,Wonoharjo,83138088,91350394,31258006
72,Lebanon,Joubb Jannîne,85970839,91969222,77031467
73,Portugal,Limeiras,81601199,55252514,18665065
74,Colombia,La Cumbre,54682850,46749862,14546563
75,Indonesia,Sai,73201940,74263359,24197252
76,Argentina,Mattaldi,96901044,70134736,30180573
77,Peru,Conima,39169629,7865112,19143931
78,Singapore,Singapore,19728112,48381175,45042269
79,Canada,Minnedosa,97147184,90265542,36623216
80,Sweden,Umeå,29717487,20874125,50702070
81,China,Hengshui,28380042,47280791,33835363
82,Brazil,Artur Nogueira,30988646,71769169,36486465
83,Morocco,Fkih Ben Salah,46988205,39999575,34757912
84,China,Beibao,15780544,40567458,11855275
85,El Salvador,Cojutepeque,21302185,44243741,67592567
86,Portugal,Riachos,17057427,3379296,52383404
87,Mexico,San Antonio,46109693,23751978,11084345
88,China,Fengcheng,81531325,86214675,46763396
89,China,Chengzihe,50664822,18676625,52841259
90,Greece,Kallithéa,69450974,67316046,10813253
91,Bulgaria,Chernomorets,86892905,14082195,16243623
92,France,Évreux,17307866,94047853,54496786
93,Ecuador,Santa Rosa,69383321,83502401,25038652
94,Madagascar,Ikalamavony,72274755,59782617,47186823
95,Albania,Novoselë,66752723,40262870,24162607
96,France,Martigues,77988412,49402734,60701887
97,Lithuania,Telsiai,37489730,94700459,26474014
98,China,Xiaolou,83755445,75489314,73035025
99,Brazil,Santo Ângelo,91876813,86279206,28505488
100,Brazil,Rio das Pedras,42500533,79838829,72165894
